stock_id,seconds_per_interval,r2_score,std
stock_id=0,30,0.7381083160453595,0.013623270417226573
stock_id=0,40,0.7321491528397363,0.013376328631766188
stock_id=0,50,0.7356474309643399,0.010445977590196292
stock_id=0,60,0.7276103930929108,0.014514591528229578
stock_id=0,120,0.730970285112398,0.010677826534672029
stock_id=0,200,0.729457815335436,0.018701310388554646
stock_id=1,30,0.7575492652544595,0.013644372379926774
stock_id=1,40,0.7558055406823371,0.014380385170518097
stock_id=1,50,0.7608270612698169,0.013078850987074309
stock_id=1,60,0.7593365647094033,0.010417295447677924
stock_id=1,120,0.7616524617760745,0.009862592228442577
stock_id=1,200,0.7642204796708932,0.011195193485783102
stock_id=10,30,0.8250631273394828,0.011254850633153695
stock_id=10,40,0.8255751887019089,0.008883914350162834
stock_id=10,50,0.8285165059030428,0.010165724720725572
stock_id=10,60,0.8205169369535881,0.013182805477003394
stock_id=10,120,0.8205302366072702,0.00922438072307614
stock_id=10,200,0.8249909350647846,0.009134151708450774
stock_id=100,30,0.7767160743920598,0.015672797310184228
stock_id=100,40,0.7793182447803491,0.018867162757507282
stock_id=100,50,0.7825307858334591,0.01959633518409408
stock_id=100,60,0.786797611616113,0.016331118445839607
stock_id=100,120,0.7811018417623876,0.01477624451857318
stock_id=100,200,0.7815920834952814,0.021153918018135844
stock_id=101,30,0.7741250063109145,0.015338753765074677
stock_id=101,40,0.7807729364032859,0.012769144576015946
stock_id=101,50,0.7851811606185448,0.00939245687378985
stock_id=101,60,0.7789479091687708,0.010498949552699432
stock_id=101,120,0.7817373083595937,0.014052566730537099
stock_id=101,200,0.7804216055953503,0.012397881536789496
stock_id=102,30,0.7806666635655791,0.012931577889333194
stock_id=102,40,0.779785768288319,0.013785313786483303
stock_id=102,50,0.7823654053406464,0.011293318836883781
stock_id=102,60,0.7820983410352247,0.010633480675593438
stock_id=102,120,0.7896525219246094,0.012096744389152604
stock_id=102,200,0.785540493894616,0.013509988670900919
stock_id=103,30,0.7626168571771631,0.014600351211955777
stock_id=103,40,0.7645763032526816,0.012050543667503069
stock_id=103,50,0.7679841226508031,0.0173357606681966
stock_id=103,60,0.7681461766628198,0.01400032780988267
stock_id=103,120,0.7592008923448214,0.01456483343475463
stock_id=103,200,0.7644763174973822,0.015617052642563661
stock_id=104,30,0.7979639622232937,0.013623144801677466
stock_id=104,40,0.7895999867983117,0.013891136134560863
stock_id=104,50,0.7964976095908954,0.012690647509816627
stock_id=104,60,0.7917949687619983,0.018690568620654022
stock_id=104,120,0.7816432017908389,0.02146839292306804
stock_id=104,200,0.8004486982100047,0.016544498856540846
stock_id=105,30,0.8193428716143532,0.0089173716615384
stock_id=105,40,0.8161026073838917,0.00882139645325453
stock_id=105,50,0.8149937010621684,0.011947295546224559
stock_id=105,60,0.8167527034602798,0.008906801460645436
stock_id=105,120,0.8144047244929385,0.009270398297720086
stock_id=105,200,0.8173941714764871,0.008296965064646068
stock_id=107,30,0.7783262351953287,0.01655387378737006
stock_id=107,40,0.7835779999313985,0.02292608311642178
stock_id=107,50,0.7868085496000228,0.016946963154431526
stock_id=107,60,0.7849399920731729,0.018209607154671188
stock_id=107,120,0.7862497368369114,0.022508383274583252
stock_id=107,200,0.7858980811213284,0.019110032873370836
stock_id=108,30,0.7974033368082301,0.010357190666724546
stock_id=108,40,0.8001676401244111,0.013438387452900883
stock_id=108,50,0.8050005394923682,0.012228911004785046
stock_id=108,60,0.8039083229883849,0.01261880455070509
stock_id=108,120,0.8019299557692033,0.012257118921945465
stock_id=108,200,0.8004033835692974,0.015994711347336286
stock_id=109,30,0.8092305611611523,0.011771524070650075
stock_id=109,40,0.8143256148712108,0.008867001262101876
stock_id=109,50,0.8093878458212416,0.010689403417935754
stock_id=109,60,0.812016504196626,0.007844741206104401
stock_id=109,120,0.8135870948137635,0.010387204379024873
stock_id=109,200,0.8087245850342508,0.0074776713596388465
stock_id=11,30,0.7339089651231449,0.017862986138924335
stock_id=11,40,0.7283493849662606,0.009625339917329365
stock_id=11,50,0.7386754393591536,0.011589596583709378
stock_id=11,60,0.7335871850093636,0.014782831772106859
stock_id=11,120,0.7358029046787908,0.016947833038749725
stock_id=11,200,0.7474741177954676,0.016856736962226435
stock_id=110,30,0.692816033652274,0.01640818156821548
stock_id=110,40,0.6918772368700735,0.015070354464905077
stock_id=110,50,0.6977147368137782,0.012872547213777551
stock_id=110,60,0.6989900523891361,0.014047036010784528
stock_id=110,120,0.7037686873245597,0.015745277468855748
stock_id=110,200,0.7055551498088222,0.01356833667511351
stock_id=111,30,0.7227661252552026,0.03442858975028134
stock_id=111,40,0.7135707161443812,0.028157342370704674
stock_id=111,50,0.7267957616767357,0.035894105940291215
stock_id=111,60,0.7302142731057575,0.03042927396082396
stock_id=111,120,0.7198138842998522,0.036079625973387056
stock_id=111,200,0.7178576142168168,0.031366653639579765
stock_id=112,30,0.68813199573967,0.01571509586527873
